FD0802002;Питьевая вода;4176;Вода АКВА МИНЕРАЛЕ негаз.    2л;51.9;55
FD0805002;Соки,нектары в пак.;4299;Сок J-7 АПЕЛЬСИНОВЫЙ 100%  0.2л;57.9;6
FR0905004;Кабачки, бакл.,тыква;4414;Баклажаны 1кг;229;6.67
FR1003002;Рыба тушка охл.;4477;Судак непотрошен.охлажден.  1кг;389;1.728
FD0220006;Томатная паста;4609;ПОМИДОРКА Паста томатная ж/б  140г;77.9;31
FD0222004;Сухие завтраки;4645;NESQUIK Завтрак готовый шоколадный 375г;219;14
FR0407002;Мороженое в конт.;4852;BASK.ROB.Мор.ПРАЛИНЕ СО СЛИВ.1л;659;8
FR0407002;Мороженое в конт.;4858;BASK.ROB.Мор.ПЕЧЕНЬЕ СО СЛИВ.1л;659;1
FR0606002;Сыры плавленые;4964;HOCHL.Сыр пл.С ВЕТ.55% ван.200г;135;6
FD0226006;Чай чёрный;5051;AHM.TEA Чай EARL GREY 25х2г;119;23
FD0607002;Печенье;5105;GRISBI Печенье с орех.крем.150г;249;19
FD0611001;Батончики шоколадные;5164;Батончик MILKY WAY шоколадный 26г;26.9;94
FD0606005;Наборы конфет;5232;КОМИЛ.Конфет.ФИСТАШКА шок.с двух.нач116г;359;42
FR0604002;Молоко стерилизов.;5295;БЕЛ.ГОРОД Молоко ул/паст.3,2% 1л;69.9;19
FD0209006;Кофе растворимый;5563;NESC.Кофе CLASSIC раст.ж/б 250г;519;7
FR0907002;Ягоды;5582;Клубника свежая 1кг;619;0.014
FD0606010;Конфеты весовые;5630;Карамель МОСКВИЧКА          1кг;399;4.007
FD0210006;Рис;5722;МИСТР.Рис БАСМАТИ бел.аром.500г;165;17
FD0805002;Соки,нектары в пак.;6078;Сок J-7 ЯБЛОКО ЗЕЛЕНОЕ     0.2л;57.9;11
FD0209006;Кофе растворимый;6134;MACCOFFEE Нап.коф.раств.3в1 м/у 20г;14.9;179
FR0407003;Мороженое порционное;6150;Морожен.SNICK.мол.с карам.арах.глаз.48г;83.9;14
FR0905001;Грибы свежие;6176;Грибы ШАМПИНЬОНЫ лоток 250г;99.9;8
FR0905002;Перец свежий;6177;Перец красный сладкий       1кг;259;4.002
FR0905002;Перец свежий;6178;Перец желтый сладкий        1кг;259;1.584
FR0908002;Груши, айва;6223;Груши КОНФЕРЕНС 1кг;185;22.633
FD0220011;Этнические;6352;SM Соус устричный в стекл.200мл;239;11
FD0210008;Хлопья зерновые;6752;РУС.ПРОД.Хлопья ГЕРКУЛЕС ТРАД.овсян.500г;58.9;16
FD0211001;Макаронные изделия;6788;MAKFA Макароны  перья 450г;67.9;22
FD0803002;Напитки сл. безалк.;6990;Напиток SPRITE газированный, ж/б 0.33л;45.9;18
FD0209001;Какао,шоколад растворимый;7006;Какао ЗОЛОТОЙ ЯРЛЫК порошок  100г;99.9;26
FD0611002;Шоколад плиточный;7044;LINDT Шоколад ШВЕЙЦ.мол.с цел.фун.300г;789;24
FR0405008;Тесто;7314;ОТ ЗВЕЗД.Тесто слоен.бездр.500г;82.9;31
FD0210008;Хлопья зерновые;7315;MYL.PAR.Каша пшенная 400г;77.9;10
FD0611001;Батончики шоколадные;7650;Батончик TWIX шоколадный    55г;41.9;67
FD0604003;Пастила;7662;ШАРМЭЛЬ Пастила с ароматом ванили 221г;119;9
FD0220003;Кетчупы;7811;HEINZ Кетчуп томат.пласт/бут.  570г;175;67
FD0209005;Кофе молотый;7845;J.MEINL Кофе ГРАНД ЭСПРЕССО мол.250г;449;8
FD0209005;Кофе молотый;7855;J.MEINL Кофе ПРЕЗИДЕНТ мол.250г;419;10
FR0608005;Кефир;7874;Кефир ДОМИК В ДЕРЕВНЕ 1%   1000г;71.9;13
FD0205002;Грибы консервированные;7972;LORADO Шампиньоны рез. ж/б 425мл;99.9;14
FD0805002;Соки,нектары в пак.;8041;ДОБРЫЙ Нектар МУЛЬТИФРУТ 2л;195;8
FD0805002;Соки,нектары в пак.;8116;ДОБРЫЙ Сок яблочный          2л;209;5
FD0603001;Жевательная резинка;8176;ORBIT Жев.резWHIT.БЕЛОСподуш.13,6г;35.9;192
FR0604002;Молоко стерилизов.;8360;МОЖАЙСКОЕ Молоко стер.3,2% 0.45л;93.9;8
FD0804006;Пиво безалкогольное;8375;Пиво CLAUSTHALER ORIG.св.б/а ст/б 0.33л;114.9;22
FR0609002;Йогурт питьевой;8487;DANONE Биойогурт АКТ.пит.натур.2,4%870г;129;10
FD0211001;Макаронные изделия;8639;D.COSTA Изд.мак.ЗООП.фигур.с том/шп.250г;219;8
FD0209001;Какао,шоколад растворимый;8678;NEST.Какао НЕСКВИК пл.б. 250г;175;9
FD0216008;Супы сухие для варки;8726;PODRAVKA Суп ОВОЩНОЙ со звездочками 52г;33.9;36
FD0210008;Хлопья зерновые;9056;NORDIC Хлопья ОВСЯНЫЕ 500г;145;7
FD0220009;Томатные соусы;9236;КИНТО Соус САЦЕБЕЛИ застольный ст/б 300г;125;9
FD0220009;Томатные соусы;9238;КИНТО Соус САЦЕБЕЛИ охотничий ст/б 300г;125;7
FD0201002;Джем, конфитюры, повидло;9291;DARBO Конф.дик.брус.70%фр.200г;239;7
FR0908006;Экзотические фрукты;9411;Кокосы 1шт;83.9;9
FR0608007;Ряженка;9765;Ряженка ДОМИК В ДЕРЕВНЕ 3.2% 1000г;97.9;13
FD0604003;Пастила;9779;ШАРМЭЛЬ Пастила КЛЮКВЕННАЯ 221г;119;6
FR0906003;Корнеплоды;9814;Морковь мытая импортная 1уп х1кг;73.9;10
FD0604003;Пастила;9857;ШАРМЭЛЬ Пастила со вкусом КЛ.СО СЛИВ221г;119;11
FD0604001;Зефир;9919;ШАРМЭЛЬ Зефир с аром.ванили255г;119.9;11
FD0604001;Зефир;9922;ШАРМЭЛЬ Зефир со вкусом КРЕМ-БР.255г;119.9;5
FD0216008;Супы сухие для варки;9994;PODRAVKA Суп КУРИНЫЙ с вермишелью 62г;33.9;7
FD0221006;Универсальные;10003;PODRAVKA Приправа VEGETA 75г;53.9;22
FD0221006;Универсальные;10004;PODR.Припр.VEGETA из овощ. 250г;155;10
FD1101002;Сушки,баранки,бубл.;10019;ОЗБИ Сушка КРОХА ванильная 200г;45.9;33
FD0804001;Пиво импортное;10023;Пиво GROLSCH PREM.PILSNER 5% ж/б 0.5л;135;19
FD0804001;Пиво импортное;10034;Пиво FRANZISKANER HEFE-WEISS.5% ж/б 0.5л;135;7
FD0210008;Хлопья зерновые;10234;MYL.PAR.Каша овсяные хлопья 500г;94.9;10
FD0604001;Зефир;10795;ШАРМЭЛЬ Зефир КЛАСС.в шокол250г;239;15
FD0804001;Пиво импортное;10825;Пиво PAULANER МЮНХЕН.св.4,9% ж/б 0.5л;99.9;24
FD0804001;Пиво импортное;10832;Пиво PAULANER WEIS.св.неф.5,5% ж/б 0.5л;99.9;67
FD0804001;Пиво импортное;10834;Пиво PAUL.WEIS.св.н/ф 5,5% ст/б 0.5л;145;13
FD0802002;Питьевая вода;10855;VOLVIC Вода мин.б/г пл/б   1.5л;209;3
FD0802002;Питьевая вода;10856;Вода VITTEL мин.пит.стол.б/г пл/б 1.5л;185;12
FD0802002;Питьевая вода;10857;Вода ВИТТЕЛЬ минеральная б/г 0.5л;87.9;4
FD0223009;Сухие десерты;11138;DR.OETKER Желе со вкусом малины 45г;47.9;15
FD0226006;Чай чёрный;11200;LIPTON Чай YEL.LAB.пак. 100х2г;259;24
FD0804002;Пиво лицензионное;11202;Пиво BAVARIA PREM.PILS.св.4,9% ст/б 0.5л;71.9;14
FD0611002;Шоколад плиточный;11600;Шоколад ВДОХНОВЕНИЕ      100г;145;46
FD0226001;Чаи травяные;11717;ПРИНЦ.ЯВА Напиток КАРКАДЭ чайн.лист.80г;83.9;12
FD0220011;Этнические;11786;ТАБАСКО Соус красный перечный 60мл;269;4
FR0905006;Томаты свежие;11971;Томаты ЧЕРРИ красные 250г;83.9;8
FD0803002;Напитки сл. безалк.;11979;Напиток ЭКСТРА-СИТРО газ.  1л;94.9;5
FD0703001;Консервы для кошек;12477;WHISKAS Корм д/котят рагу с курицей 85г;21.9;75
FR0605002;Сливки жидк.(тепло);12721;ДОМИК В ДЕРЕВНЕ Сливки стерилиз.33%480мл;259;9
FR0609004;Йогурты термизир.;12834;CAMP.Пр.йог.НЕЖН.КЛУБН.1.2% с соком100г;18.9;19
FD0226004;Чай зеленый;13193;TWININ.Чай ЖАСМИН зел.ж/б100г;469;7
FR1003002;Рыба тушка охл.;13310;Сибасс охл 400/600  вес 1кг;619;9.874
FD0610001;Чипсы картофельные;13417;РУС.ПРОД.Картоф.МОСКОВСКИЙ с йод.сол.70г;49.9;10
FD0220011;Этнические;13937;SM TEX-MEX Соус остр/перц.ст 85;99.9;9
FD0211001;Макаронные изделия;14123;3 GL.Макароны DMI алфавит 250г;99.9;20
FD0805002;Соки,нектары в пак.;14125;С.ПРИД.Сок детск.томат.100%  1л;99.99;9
FD0210002;Гречка;14301;АГРО-АЛ.Крупа ЭКСТРА ЭЛИТ.ГРЕЧНЕВ.900г;145;12
FD0210006;Рис;14302;АГРО-АЛ.Рис ЭКСТРА GOLD проп.900г;129;16
FD0210006;Рис;14304;АГРО-АЛ.Рис ЭКСТРА ЭЛИТ.КУБАН.шлиф.900г;125;4
FD0805003;Соки,нектары в стек.;14323;TEDI Напиток с/сод.мор-мал.-ябл 0.3л;47.9;12
FD0805003;Соки,нектары в стек.;14325;Нектар TEDI морк-перс-ябл д/п с3лет 0,3л;47.9;16
FD0805003;Соки,нектары в стек.;14355;TEDI Нектар морковный для д/п с3лет 0.3л;47.9;14
FR1003002;Рыба тушка охл.;14692;Дорадо 400/600 охл вес 1кг;649;3.346
FD0226006;Чай чёрный;14858;AHM.TEA Чай EARL GREY 100г;175;13
FR0606003;Сыры рассольные;15105;GALBANI Сыр МОЦАРЕЛЛА 45% 125г;165;4
FD0222004;Сухие завтраки;15115;ЛЮБЯТОВО Подушечки С МОЛ.НАЧИН.250г;89.9;12
FD0803002;Напитки сл. безалк.;15117;Напиток COCA-COLA газ.ПЭТ  0.5л;59.9;71
FD0803002;Напитки сл. безалк.;15118;Напиток FANTA б/алк.газ.ПЭТ 0.5л;59.9;28
FD0803002;Напитки сл. безалк.;15119;Напиток SPRITE газ.ПЭТ     0.5л;59.9;29
FD0222004;Сухие завтраки;15132;ЛЮБЯТОВО Подушечки С ШОК.НАЧИН. 250г;89.9;15
FR0407002;Мороженое в конт.;15189;MARS Мороженое SNICKERS ведерко 375г;519;8
FD0603001;Жевательная резинка;15205;WRIGL.Жев.рез.SPEARMINTпласт13г;33.9;185
FD0603001;Жевательная резинка;15207;WRIGL.Жев.рез.JUICY FRUITпл.13г;33.9;173
FD0603001;Жевательная резинка;15212;ORBIT Жев.рез.СЛАДКАЯ М.под.13,6г;35.9;200
FD0226006;Чай чёрный;15492;TWININ.Чай ДЛЯ ЗАВТРАКА 25х2г;239;10
FD0226006;Чай чёрный;15495;TWININ.Чай ЭРЛ ГРЕЙ  ж/б 100г;469;3
FD0226006;Чай чёрный;15507;МАЙ Чай КОРОНА РОС.ИМПЕРИИ лист.200г;195;10
FD0226006;Чай чёрный;15545;TWININ.Чай EARL GREY 25х2г;239;15
FD0211001;Макаронные изделия;15557;MALTAGL.Изд.мак.ВИТОК   500г;83.9;14
FD0606003;Карамель;15630;Ч.ЧУПС Карамель МЕЛОДИИ ПОПС вк.клбн.15г;41.9;70
FD0606001;Драже;15676;Драже МЕНТОС жевательн.с фрук.вкусом 37г;51.9;62
FD0606001;Драже;15771;Драже МЕНТОС жевательн.с мятн.вкусом 37г;51.9;78
FD0802002;Питьевая вода;15777;БОНАКВА Вода питьевая газ.1л;37.9;3
FD0802002;Питьевая вода;15781;БОНАКВА Вода питьевая негаз.1л;37.9;14
FD0226006;Чай чёрный;15890;Чай Basilur Востчная коллекция Золотой;339;15
FD0211001;Макаронные изделия;15983;MALTAGL.Изд.мак.РОЖКИ мелк.038 500г;83.9;18
FD0223008;Сода;16038;ТЕНДЕР Сода пищевая в карт.кор.500г;45.9;15
FD0606005;Наборы конфет;16159;Набор конф.СЛ.ПОМАДК.С ЦУК.250г;179.9;15
FD0611002;Шоколад плиточный;16160;АЛЕНКА Шоколад молочный 100г;114.9;17
FD0213002;Мука пшеничная;16318;ПЫШЕЧКА Мука в/с 1кг;49.9;6
FD0804001;Пиво импортное;16364;Пиво KRUSOVICE CERNE темн.3,8% ж/б 0.5л;99.9;20
FR0606006;Сыры творожные;16401;АЛЬМЕТТЕ Сыр 60% творожный сливочн.150г;114.9;17
FR0606006;Сыры творожные;16402;АЛЬМЕТТЕ Сыр 60% творожный с зелен.150г;114.9;11
FD0611002;Шоколад плиточный;16430;LINDT Шок.ПРЕВ.горький какао 70% 100г;259;44
FD0611002;Шоколад плиточный;16432;LINDT Шок.ПРЕВ.горький какао 85% 100г;259;16
FD0611002;Шоколад плиточный;16524;LINDT Шок.ШВЕЙЦ.мол.с изюм/цел.фунд.300г;789;17
FD0611002;Шоколад плиточный;16615;LINDT Шоколад тем.с кус.апел/миндаль100г;259;33
FD0205001;Горошек консервированный;16791;BONDUELL Горошек зеленый ж/б 400г;85.9;5
FD0205004;Кукуруза консервированная;16793;BOND.Кукур.слад.зерн.ж/б. 212мл;65.9;12
FR0604001;Молоко пастеризов.;16837;МАРУСЯ Молоко отборное 3,5-4,5% 930мл;67.9;15
FR0604002;Молоко стерилизов.;17166;PARMAL.Молоко пит.ул/стер.3,5% 200мл;31.9;29
FD0211001;Макаронные изделия;17278;3 GL.Макароны GP лапша мелкая 500г;229;16
FD0207003;Персики консервированные;17279;DEL MONTE Персик.пол.в сир.420г;145;19
FD0207001;Ананасы консервированные;17285;DEL MONTE Ананасы кусочки в соке 230г;99.9;12
FD0611002;Шоколад плиточный;17333;Шок.KINDER CHOC.мол.с мол.нач. 100г;89.9;144
FD0606001;Драже;17337;Драже TIC-TAC апельсин      16г;53.9;50
FD0606001;Драже;17338;Драже ТИК ТАК со вкусом мята 16г;53.9;48
FD0611002;Шоколад плиточный;17342;Шок.KINDER CHOC.мол.с мол.нач.50г;49.9;68
FD0603001;Жевательная резинка;17345;ORBIT Жев.рез.WINTERFRESH 13,6г;35.9;93
FD0223001;Дрожжи;17366;Дрожжи САФ-МОМЕНТ хл/пек.сух.б/дейст.11г;18.9;51
FD0205006;Овощные смеси консервированные;17454;Закусочка Д/Ваня Венгерская 460г ст Рус;145;8
FR0906004;Лук;17662;Чеснок свеж.1шт;73.9;11
FD0606005;Наборы конфет;17721;GUYL.Наб.МОР.РАК.шок.в кор.250г;469;12
FD1103003;Хлебцы, тосты;17790;FINN CRISP Сухарики ORIGINAL ржаные 200г;175;16
FR0603002;Маргарин, спреды;17819;Спред КРЕМЛЕВСКОЕ раст/жир.72,5% фол180г;45.9;22
FD0606003;Карамель;17885;Ч.ЧУПС Карам. ЭКЗОТ-ТРОПИК с нат.сок.12г;15.9;70
FD0606005;Наборы конфет;18162;RAFFAEL.Кон.с цел.мин.ор.в кокос.об.150г;299.9;295
FD0209005;Кофе молотый;18206;PAULIG Кофе PRESIDENT мол.250г;399;6
FD0601003;Торты  вафельные;18475;Торт ШОКОЛАДНИЦА ваф.фунд. 270г;195;10
FR0609001;Йогурты свежие;18514;ФРУГУРТ Йогурт ПЕРСИК 2.5% в ванн.250г;49.9;20
FR0609001;Йогурты свежие;18515;ФРУГУРТ Йогурт ЧЕРНИКА 2.5% в ванн.250г;49.9;16
FD0602002;Халва, Козинак и пр.;18851;Халва ДРУЖБА с арахисом 250г;99.9;4
FR0609001;Йогурты свежие;18994;ФРУГУРТ Йогурт ВИШНЯ 2.5% в ванн.250г;49.9;17
FR0608005;Кефир;18997;Кефир ДОМИК В ДЕРЕВНЕ 3.2% 1000г;93.9;16
FD0212002;Масло оливковое;19133;BORGES Масло олив.100% ст/б  0.5л;739;16
